BABYFOOD,DINNER,VEG&TURKEY,STR	100	48	0.9	7.62	2.32
BABYFOOD,DINNER,VEG&TURKEY,JR	100	53	1.74	7.55	1.72
BABYFOOD,DINNER,VEG&TURKEY,TODD	100	80	3.4	8	4.8
BABYFOOD,DINNER,MACARONI&CHS,STR	100	67	2.11	8.95	3.14
BABYFOOD,DINNER,MACARONI&CHS,JR	100	61	2	8.2	2.6
BABYFOOD,VEG,GRN BNS,STR	100	27	0.17	6.29	1.2
BABYFOOD,VEG,GRN BNS,JR	100	24	0.1	5.7	1.2
BABYFOOD,GRN BNS,DICES,TODD	100	29	0.2	5.7	1.2
BABYFOOD,VEG,GRN BNS&POTATOES	100	62	1.9	9	2.2
BABYFOOD,VEG,BEETS,STR	100	34	0.1	7.7	1.3
BABYFOOD,VEG,CARROTS,STR	100	27	0.1	6	0.8
BABYFOOD,VEG,CARROTS,JR	100	32	0.2	7.2	0.8
BABYFOOD,VEG,SQUASH,STR	100	28	0.2	5.73	0.81
BABYFOOD,VEG,SQUASH,JR	100	24	0.2	5.73	0.81
BABYFOOD,VEG,SWT POTATOES,STR	100	57	0.1	13.2	1.1
BABYFOOD,VEG,SWT POTATOES,JR	100	60	0.1	13.9	1.1
BABYFOOD,POTATOES,TODDLER	100	52	0.1	11.73	1
BABYFOOD,VEG,BUTTERNUT SQUASH&CORN	100	50	0.6	9.3	2
BABYFOOD,APPLS,DICES,TODD	100	51	0.1	12.1	0.2
BABYFOOD,FRUIT,APPLSAUC,STR	100	41	0.2	10.8	0.2
BABYFOOD,FRUIT,APPLSAUC,JR	100	37	0	10.3	0
BABYFOOD,FRUIT,APRICOT W/TAPIOCA,STR	100	60	0	16.3	0.3
BABYFOOD,VEG,CORN,CRMD,STR	100	57	0.4	14.1	1.4
BABYFOOD,VEG,CORN,CRMD,JR	100	65	0.4	16.25	1.4
BABYFOOD,VEG,PEAS,STR	100	50	0.43	8.36	3.27
BABYFOOD,PEAS,DICES,TODD	100	64	0.8	10.3	3.9
BABYFOOD,VEG,SPINACH,CRMD,STR	100	37	1.3	5.7	2.5
BABYFOOD,FRUIT,APRICOT W/TAPIOCA,JR	100	63	0	17.3	0.3
BABYFOOD,FRUIT,BANANAS W/TAPIOCA,STR	100	56	0.1	15.3	0.4
BABYFOOD,FRUIT,PEACHES,STR	100	65	0.33	14.48	0.94
BABYFOOD,FRUIT,PEACHES,JR	100	65	0.33	14.48	0.94
BABYFOOD,FRUIT,PEARS,STR	100	42	0.2	10.8	0.3
BABYFOOD,FRUIT,PEARS,JR	100	43	0.1	11.6	0.3
BABYFOOD,FRUIT,PLUMS W/TAPIOCA,WO/VIT C,STR	100	71	0	19.7	0.1
BABYFOOD,FRUIT,PLUMS W/TAPIOCA,WO/VIT C,JR	100	74	0	20.5	0.1
BABYFOOD,FRUIT,PRUNES W/TAPIOCA,WO/VIT C,STR	100	69	0.1	18.5	0.6
BABYFOOD,FRUIT,PRUNES W/TAPIOCA,WO/VIT C,JR	100	70	0.1	18.7	0.6
BABYFOOD,PRUNES,WO/VIT C,STR	100	101	0.2	23.52	1
BABYFOOD,FRUIT DSSRT,MANGO W/ TAPIOCA	100	70	0.2	19	0.3
BABYFOOD,PEARS,DICES,TODD	100	57	0.1	13.6	0.3
BABYFOOD,FRUIT,APPLSAUC&APRICOTS,STR	100	44	0.2	11.64	0.2
BABYFOOD,FRUIT,APPLSAUC&APRICOTS,JR	100	47	0.2	12.4	0.2
BABYFOOD,FRUIT,APPLSAUC&CHERRIES,STR	100	51	0	14.1	0
